# CONCRETE, PORTLAND from NIST Database
2.044e+00 2.872e-05 4.383e-02 7.855e-06 6.411e-04
2.065e+00 2.814e-05 4.357e-02 7.731e-06 6.633e-04
2.279e+00 2.311e-05 4.114e-02 6.649e-06 8.954e-04
2.516e+00 1.896e-05 3.881e-02 5.742e-06 1.159e-03
2.778e+00 1.555e-05 3.658e-02 4.979e-06 1.454e-03
3.000e+00 1.333e-05 3.491e-02 4.468e-06 1.702e-03
3.066e+00 1.277e-05 3.445e-02 4.335e-06 1.776e-03
3.385e+00 1.047e-05 3.239e-02 3.787e-06 2.129e-03
3.737e+00 8.594e-06 3.043e-02 3.318e-06 2.508e-03
4.000e+00 7.501e-06 2.913e-02 3.035e-06 2.783e-03
4.125e+00 7.053e-06 2.855e-02 2.917e-06 2.911e-03
4.554e+00 5.787e-06 2.676e-02 2.570e-06 3.336e-03
5.000e+00 4.801e-06 2.515e-02 2.286e-06 3.760e-03
5.027e+00 4.749e-06 2.506e-02 2.271e-06 3.785e-03
5.549e+00 3.898e-06 2.345e-02 2.010e-06 4.257e-03
6.000e+00 3.334e-06 2.223e-02 1.829e-06 4.645e-03
6.126e+00 3.198e-06 2.192e-02 1.783e-06 4.749e-03
6.762e+00 2.625e-06 2.047e-02 1.585e-06 5.256e-03
7.000e+00 2.450e-06 1.998e-02 1.522e-06 5.437e-03
7.465e+00 2.154e-06 1.910e-02 1.411e-06 5.779e-03
8.000e+00 1.875e-06 1.818e-02 1.302e-06 6.154e-03
8.241e+00 1.767e-06 1.780e-02 1.258e-06 6.318e-03
9.000e+00 1.482e-06 1.672e-02 1.137e-06 6.809e-03
9.097e+00 1.450e-06 1.659e-02 1.123e-06 6.869e-03
1.000e+01 1.200e-06 1.549e-02 1.009e-06 7.403e-03
1.004e+01 1.191e-06 1.544e-02 1.005e-06 7.426e-03
1.100e+01 9.919e-07 1.445e-02 9.068e-07 7.946e-03
1.109e+01 9.759e-07 1.436e-02 8.986e-07 7.993e-03
1.200e+01 8.335e-07 1.355e-02 8.232e-07 8.445e-03
1.224e+01 8.011e-07 1.335e-02 8.054e-07 8.560e-03
1.300e+01 7.102e-07 1.276e-02 7.536e-07 8.909e-03
1.351e+01 6.576e-07 1.240e-02 7.224e-07 9.134e-03
1.400e+01 6.123e-07 1.207e-02 6.948e-07 9.342e-03
1.491e+01 5.399e-07 1.152e-02 6.487e-07 9.711e-03
1.500e+01 5.334e-07 1.146e-02 6.445e-07 9.747e-03
1.600e+01 4.688e-07 1.092e-02 6.009e-07 1.013e-02
1.646e+01 4.429e-07 1.068e-02 5.827e-07 1.030e-02
1.800e+01 3.704e-07 9.977e-03 5.292e-07 1.082e-02
1.818e+01 3.631e-07 9.901e-03 5.236e-07 1.089e-02
2.000e+01 3.000e-07 9.201e-03 4.729e-07 1.145e-02
