# BERYLLIUM OXIDE from NIST Database
7.000e+00 9.595e-07 1.907e-02 1.542e-07 3.236e-03
7.465e+00 8.437e-07 1.823e-02 1.432e-07 3.446e-03
8.000e+00 7.346e-07 1.735e-02 1.323e-07 3.676e-03
8.241e+00 6.923e-07 1.699e-02 1.279e-07 3.775e-03
9.000e+00 5.805e-07 1.595e-02 1.158e-07 4.078e-03
9.097e+00 5.682e-07 1.583e-02 1.145e-07 4.115e-03
1.000e+01 4.702e-07 1.478e-02 1.030e-07 4.443e-03
1.004e+01 4.665e-07 1.474e-02 1.025e-07 4.457e-03
1.100e+01 3.885e-07 1.379e-02 9.272e-08 4.779e-03
1.109e+01 3.822e-07 1.370e-02 9.189e-08 4.807e-03
1.200e+01 3.265e-07 1.293e-02 8.427e-08 5.087e-03
1.224e+01 3.138e-07 1.274e-02 8.247e-08 5.159e-03
1.300e+01 2.782e-07 1.218e-02 7.724e-08 5.376e-03
1.351e+01 2.576e-07 1.183e-02 7.408e-08 5.515e-03
1.400e+01 2.399e-07 1.152e-02 7.128e-08 5.645e-03
1.491e+01 2.115e-07 1.099e-02 6.662e-08 5.875e-03
1.500e+01 2.090e-07 1.094e-02 6.619e-08 5.897e-03
1.600e+01 1.836e-07 1.042e-02 6.177e-08 6.135e-03
1.646e+01 1.735e-07 1.020e-02 5.993e-08 6.240e-03
1.800e+01 1.451e-07 9.520e-03 5.449e-08 6.572e-03
1.818e+01 1.422e-07 9.448e-03 5.392e-08 6.608e-03
2.000e+01 1.175e-07 8.781e-03 4.873e-08 6.964e-03
