# SILVER IODIDE from NIST Database
8.000e+00 2.021e-05 1.540e-02 1.417e-04 2.216e-02
8.241e+00 1.905e-05 1.508e-02 1.367e-04 2.269e-02
9.000e+00 1.597e-05 1.416e-02 1.229e-04 2.429e-02
9.097e+00 1.563e-05 1.405e-02 1.214e-04 2.448e-02
1.000e+01 1.294e-05 1.312e-02 1.085e-04 2.623e-02
1.004e+01 1.283e-05 1.308e-02 1.080e-04 2.631e-02
1.100e+01 1.069e-05 1.224e-02 9.706e-05 2.802e-02
1.109e+01 1.052e-05 1.216e-02 9.615e-05 2.818e-02
1.200e+01 8.983e-06 1.148e-02 8.778e-05 2.968e-02
1.224e+01 8.634e-06 1.131e-02 8.580e-05 3.006e-02
1.300e+01 7.654e-06 1.081e-02 8.008e-05 3.121e-02
1.351e+01 7.088e-06 1.050e-02 7.664e-05 3.195e-02
1.400e+01 6.600e-06 1.023e-02 7.359e-05 3.263e-02
1.491e+01 5.818e-06 9.755e-03 6.856e-05 3.383e-02
1.500e+01 5.748e-06 9.711e-03 6.810e-05 3.394e-02
1.600e+01 5.053e-06 9.250e-03 6.336e-05 3.516e-02
1.646e+01 4.774e-06 9.052e-03 6.139e-05 3.570e-02
1.800e+01 3.993e-06 8.452e-03 5.559e-05 3.740e-02
1.818e+01 3.914e-06 8.387e-03 5.498e-05 3.759e-02
2.000e+01 3.234e-06 7.793e-03 4.951e-05 3.940e-02
