# CALCIUM TUNGSTATE from NIST Database
9.361e-01 1.864e-03 5.727e-02 9.397e-03 0.000e+00
1.000e+00 1.638e-03 5.546e-02 8.213e-03 0.000e+00
1.022e+00 1.569e-03 5.486e-02 7.861e-03 0.000e+00
1.033e+00 1.537e-03 5.457e-02 7.694e-03 5.069e-08
1.141e+00 1.264e-03 5.195e-02 6.319e-03 4.381e-05
1.250e+00 1.055e-03 4.964e-02 5.301e-03 2.178e-04
1.259e+00 1.040e-03 4.946e-02 5.229e-03 2.382e-04
1.390e+00 8.555e-04 4.701e-02 4.346e-03 6.181e-04
1.500e+00 7.359e-04 4.515e-02 3.781e-03 1.028e-03
1.535e+00 7.031e-04 4.460e-02 3.626e-03 1.169e-03
1.694e+00 5.786e-04 4.229e-02 3.038e-03 1.852e-03
1.870e+00 4.755e-04 4.005e-02 2.559e-03 2.646e-03
2.000e+00 4.158e-04 3.857e-02 2.288e-03 3.239e-03
2.044e+00 3.981e-04 3.810e-02 2.208e-03 3.440e-03
2.065e+00 3.900e-04 3.788e-02 2.172e-03 3.536e-03
2.279e+00 3.203e-04 3.579e-02 1.851e-03 4.500e-03
2.516e+00 2.631e-04 3.377e-02 1.580e-03 5.535e-03
2.778e+00 2.161e-04 3.182e-02 1.352e-03 6.633e-03
3.000e+00 1.854e-04 3.036e-02 1.201e-03 7.526e-03
3.066e+00 1.776e-04 2.996e-02 1.162e-03 7.784e-03
3.385e+00 1.458e-04 2.817e-02 1.002e-03 8.999e-03
3.737e+00 1.196e-04 2.647e-02 8.685e-04 1.026e-02
4.000e+00 1.044e-04 2.534e-02 7.884e-04 1.116e-02
4.125e+00 9.820e-05 2.484e-02 7.550e-04 1.158e-02
4.554e+00 8.059e-05 2.328e-02 6.579e-04 1.294e-02
5.000e+00 6.688e-05 2.188e-02 5.791e-04 1.426e-02
5.027e+00 6.616e-05 2.180e-02 5.749e-04 1.434e-02
5.549e+00 5.432e-05 2.040e-02 5.038e-04 1.577e-02
6.000e+00 4.647e-05 1.934e-02 4.546e-04 1.694e-02
6.126e+00 4.457e-05 1.907e-02 4.424e-04 1.725e-02
6.762e+00 3.657e-05 1.781e-02 3.895e-04 1.877e-02
7.000e+00 3.413e-05 1.739e-02 3.728e-04 1.931e-02
7.465e+00 3.002e-05 1.662e-02 3.437e-04 2.033e-02
8.000e+00 2.614e-05 1.582e-02 3.153e-04 2.144e-02
8.241e+00 2.464e-05 1.549e-02 3.039e-04 2.193e-02
9.000e+00 2.066e-05 1.455e-02 2.727e-04 2.340e-02
9.097e+00 2.022e-05 1.443e-02 2.692e-04 2.357e-02
1.000e+01 1.673e-05 1.348e-02 2.400e-04 2.517e-02
1.004e+01 1.660e-05 1.344e-02 2.389e-04 2.524e-02
1.100e+01 1.383e-05 1.257e-02 2.142e-04 2.681e-02
1.109e+01 1.361e-05 1.250e-02 2.121e-04 2.696e-02
1.200e+01 1.162e-05 1.179e-02 1.934e-04 2.835e-02
1.224e+01 1.117e-05 1.162e-02 1.889e-04 2.871e-02
1.300e+01 9.903e-06 1.111e-02 1.761e-04 2.977e-02
1.351e+01 9.170e-06 1.079e-02 1.685e-04 3.047e-02
1.400e+01 8.540e-06 1.051e-02 1.617e-04 3.112e-02
1.491e+01 7.528e-06 1.002e-02 1.504e-04 3.223e-02
1.500e+01 7.438e-06 9.976e-03 1.494e-04 3.235e-02
1.600e+01 6.538e-06 9.502e-03 1.388e-04 3.353e-02
1.646e+01 6.178e-06 9.300e-03 1.344e-04 3.403e-02
1.800e+01 5.166e-06 8.683e-03 1.216e-04 3.561e-02
1.818e+01 5.064e-06 8.617e-03 1.202e-04 3.579e-02
2.000e+01 4.183e-06 8.007e-03 1.081e-04 3.749e-02
