# PARAFFIN WAX from NIST Database
4.000e+00 2.076e-06 3.318e-02 1.258e-07 1.391e-03
4.125e+00 1.952e-06 3.253e-02 1.211e-07 1.457e-03
4.554e+00 1.602e-06 3.049e-02 1.071e-07 1.681e-03
5.000e+00 1.329e-06 2.866e-02 9.559e-08 1.904e-03
5.027e+00 1.314e-06 2.855e-02 9.497e-08 1.917e-03
5.549e+00 1.079e-06 2.671e-02 8.437e-08 2.168e-03
6.000e+00 9.228e-07 2.533e-02 7.694e-08 2.376e-03
6.126e+00 8.852e-07 2.497e-02 7.509e-08 2.432e-03
6.762e+00 7.263e-07 2.332e-02 6.696e-08 2.704e-03
7.000e+00 6.777e-07 2.276e-02 6.434e-08 2.802e-03
7.465e+00 5.960e-07 2.176e-02 5.977e-08 2.987e-03
8.000e+00 5.191e-07 2.072e-02 5.525e-08 3.191e-03
8.241e+00 4.892e-07 2.029e-02 5.343e-08 3.280e-03
9.000e+00 4.101e-07 1.905e-02 4.842e-08 3.548e-03
9.097e+00 4.014e-07 1.890e-02 4.784e-08 3.581e-03
1.000e+01 3.322e-07 1.764e-02 4.308e-08 3.875e-03
1.004e+01 3.295e-07 1.759e-02 4.289e-08 3.887e-03
1.100e+01 2.745e-07 1.646e-02 3.877e-08 4.174e-03
1.109e+01 2.701e-07 1.636e-02 3.843e-08 4.199e-03
1.200e+01 2.307e-07 1.543e-02 3.526e-08 4.449e-03
1.224e+01 2.217e-07 1.521e-02 3.451e-08 4.513e-03
1.300e+01 1.966e-07 1.454e-02 3.232e-08 4.707e-03
1.351e+01 1.820e-07 1.413e-02 3.101e-08 4.832e-03
1.400e+01 1.695e-07 1.376e-02 2.984e-08 4.948e-03
1.491e+01 1.494e-07 1.312e-02 2.789e-08 5.153e-03
1.500e+01 1.476e-07 1.306e-02 2.771e-08 5.172e-03
1.600e+01 1.298e-07 1.244e-02 2.586e-08 5.388e-03
1.646e+01 1.226e-07 1.217e-02 2.510e-08 5.482e-03
1.800e+01 1.025e-07 1.137e-02 2.282e-08 5.778e-03
1.818e+01 1.005e-07 1.128e-02 2.258e-08 5.810e-03
2.000e+01 8.303e-08 1.048e-02 2.042e-08 6.130e-03
