# LITHIUM CARBONATE from NIST Database
3.737e+00 3.541e-06 2.949e-02 3.528e-07 1.524e-03
4.000e+00 3.091e-06 2.823e-02 3.235e-07 1.694e-03
4.125e+00 2.906e-06 2.767e-02 3.111e-07 1.774e-03
4.554e+00 2.384e-06 2.593e-02 2.750e-07 2.040e-03
5.000e+00 1.978e-06 2.437e-02 2.453e-07 2.305e-03
5.027e+00 1.957e-06 2.429e-02 2.437e-07 2.321e-03
5.549e+00 1.606e-06 2.272e-02 2.164e-07 2.618e-03
6.000e+00 1.373e-06 2.154e-02 1.972e-07 2.862e-03
6.126e+00 1.318e-06 2.124e-02 1.925e-07 2.929e-03
6.762e+00 1.081e-06 1.984e-02 1.715e-07 3.249e-03
7.000e+00 1.009e-06 1.936e-02 1.648e-07 3.364e-03
7.465e+00 8.873e-07 1.851e-02 1.530e-07 3.581e-03
8.000e+00 7.726e-07 1.762e-02 1.414e-07 3.819e-03
8.241e+00 7.281e-07 1.725e-02 1.367e-07 3.923e-03
9.000e+00 6.105e-07 1.620e-02 1.238e-07 4.236e-03
9.097e+00 5.976e-07 1.607e-02 1.223e-07 4.275e-03
1.000e+01 4.945e-07 1.501e-02 1.101e-07 4.616e-03
1.004e+01 4.906e-07 1.497e-02 1.096e-07 4.630e-03
1.100e+01 4.086e-07 1.400e-02 9.909e-08 4.964e-03
1.109e+01 4.020e-07 1.391e-02 9.820e-08 4.993e-03
1.200e+01 3.434e-07 1.313e-02 9.006e-08 5.284e-03
1.224e+01 3.300e-07 1.294e-02 8.814e-08 5.358e-03
1.300e+01 2.926e-07 1.237e-02 8.255e-08 5.583e-03
1.351e+01 2.709e-07 1.202e-02 7.917e-08 5.729e-03
1.400e+01 2.523e-07 1.170e-02 7.618e-08 5.863e-03
1.491e+01 2.224e-07 1.116e-02 7.120e-08 6.100e-03
1.500e+01 2.198e-07 1.111e-02 7.074e-08 6.123e-03
1.600e+01 1.931e-07 1.058e-02 6.601e-08 6.371e-03
1.646e+01 1.825e-07 1.035e-02 6.405e-08 6.480e-03
1.800e+01 1.526e-07 9.668e-03 5.823e-08 6.823e-03
1.818e+01 1.496e-07 9.594e-03 5.762e-08 6.861e-03
2.000e+01 1.236e-07 8.916e-03 5.208e-08 7.229e-03
