# POLYVINYL ALCOHOL from NIST Database
6.126e+00 1.177e-06 2.375e-02 1.472e-07 2.822e-03
6.762e+00 9.657e-07 2.218e-02 1.312e-07 3.133e-03
7.000e+00 9.011e-07 2.165e-02 1.261e-07 3.245e-03
7.465e+00 7.924e-07 2.070e-02 1.171e-07 3.456e-03
8.000e+00 6.901e-07 1.971e-02 1.082e-07 3.688e-03
8.241e+00 6.503e-07 1.929e-02 1.046e-07 3.789e-03
9.000e+00 5.452e-07 1.812e-02 9.475e-08 4.095e-03
9.097e+00 5.337e-07 1.798e-02 9.362e-08 4.133e-03
1.000e+01 4.416e-07 1.678e-02 8.427e-08 4.466e-03
1.004e+01 4.381e-07 1.673e-02 8.390e-08 4.480e-03
1.100e+01 3.650e-07 1.565e-02 7.585e-08 4.805e-03
1.109e+01 3.591e-07 1.556e-02 7.517e-08 4.835e-03
1.200e+01 3.067e-07 1.468e-02 6.895e-08 5.118e-03
1.224e+01 2.948e-07 1.447e-02 6.748e-08 5.190e-03
1.300e+01 2.613e-07 1.383e-02 6.320e-08 5.411e-03
1.351e+01 2.420e-07 1.344e-02 6.062e-08 5.552e-03
1.400e+01 2.253e-07 1.308e-02 5.833e-08 5.683e-03
1.491e+01 1.987e-07 1.248e-02 5.451e-08 5.916e-03
1.500e+01 1.963e-07 1.242e-02 5.416e-08 5.938e-03
1.600e+01 1.725e-07 1.183e-02 5.055e-08 6.181e-03
1.646e+01 1.630e-07 1.158e-02 4.904e-08 6.287e-03
1.800e+01 1.363e-07 1.081e-02 4.459e-08 6.623e-03
1.818e+01 1.336e-07 1.073e-02 4.413e-08 6.660e-03
2.000e+01 1.104e-07 9.969e-03 3.988e-08 7.020e-03
