# LUNG (ICRP) from NIST Database
8.000e-01 8.677e-05 7.779e-02 6.601e-06 0.000e+00
8.480e-01 7.722e-05 7.570e-02 5.933e-06 0.000e+00
9.361e-01 6.337e-05 7.223e-02 4.889e-06 0.000e+00
1.000e+00 5.555e-05 6.997e-02 4.104e-06 0.000e+00
1.022e+00 5.319e-05 6.923e-02 3.834e-06 0.000e+00
1.033e+00 5.207e-05 6.887e-02 3.714e-06 3.433e-09
1.141e+00 4.270e-05 6.554e-02 2.994e-06 3.252e-06
1.250e+00 3.557e-05 6.256e-02 2.602e-06 1.756e-05
1.259e+00 3.506e-05 6.233e-02 2.572e-06 1.932e-05
1.390e+00 2.876e-05 5.919e-02 2.166e-06 5.465e-05
1.500e+00 2.470e-05 5.686e-02 1.886e-06 9.701e-05
1.535e+00 2.358e-05 5.616e-02 1.811e-06 1.126e-04
1.694e+00 1.937e-05 5.327e-02 1.535e-06 1.942e-04
1.870e+00 1.590e-05 5.043e-02 1.313e-06 3.003e-04
2.000e+00 1.389e-05 4.853e-02 1.184e-06 3.860e-04
2.044e+00 1.330e-05 4.792e-02 1.145e-06 4.160e-04
2.065e+00 1.303e-05 4.763e-02 1.127e-06 4.304e-04
2.279e+00 1.069e-05 4.496e-02 9.723e-07 5.817e-04
2.516e+00 8.776e-06 4.242e-02 8.423e-07 7.553e-04
2.778e+00 7.200e-06 3.999e-02 7.327e-07 9.506e-04
3.000e+00 6.175e-06 3.817e-02 6.592e-07 1.116e-03
3.066e+00 5.913e-06 3.767e-02 6.401e-07 1.166e-03
3.385e+00 4.852e-06 3.542e-02 5.607e-07 1.403e-03
3.737e+00 3.981e-06 3.327e-02 4.927e-07 1.658e-03
4.000e+00 3.474e-06 3.184e-02 4.516e-07 1.844e-03
4.125e+00 3.267e-06 3.121e-02 4.343e-07 1.931e-03
4.554e+00 2.680e-06 2.926e-02 3.836e-07 2.220e-03
5.000e+00 2.223e-06 2.750e-02 3.419e-07 2.509e-03
5.027e+00 2.199e-06 2.740e-02 3.397e-07 2.526e-03
5.549e+00 1.805e-06 2.564e-02 3.014e-07 2.850e-03
6.000e+00 1.544e-06 2.430e-02 2.746e-07 3.117e-03
6.126e+00 1.481e-06 2.396e-02 2.679e-07 3.188e-03
6.762e+00 1.215e-06 2.238e-02 2.386e-07 3.538e-03
7.000e+00 1.134e-06 2.185e-02 2.292e-07 3.664e-03
7.465e+00 9.973e-07 2.088e-02 2.128e-07 3.900e-03
8.000e+00 8.684e-07 1.988e-02 1.966e-07 4.160e-03
8.241e+00 8.184e-07 1.947e-02 1.901e-07 4.273e-03
9.000e+00 6.862e-07 1.828e-02 1.720e-07 4.616e-03
9.097e+00 6.717e-07 1.814e-02 1.700e-07 4.657e-03
1.000e+01 5.558e-07 1.693e-02 1.529e-07 5.028e-03
1.004e+01 5.514e-07 1.689e-02 1.522e-07 5.044e-03
1.100e+01 4.593e-07 1.579e-02 1.376e-07 5.407e-03
1.109e+01 4.519e-07 1.570e-02 1.364e-07 5.440e-03
1.200e+01 3.859e-07 1.481e-02 1.250e-07 5.758e-03
1.224e+01 3.710e-07 1.460e-02 1.223e-07 5.837e-03
1.300e+01 3.289e-07 1.395e-02 1.146e-07 6.083e-03
1.351e+01 3.045e-07 1.356e-02 1.099e-07 6.242e-03
1.400e+01 2.836e-07 1.320e-02 1.057e-07 6.388e-03
1.491e+01 2.500e-07 1.259e-02 9.876e-08 6.647e-03
1.500e+01 2.470e-07 1.253e-02 9.813e-08 6.672e-03
1.600e+01 2.171e-07 1.194e-02 9.156e-08 6.942e-03
1.646e+01 2.051e-07 1.168e-02 8.882e-08 7.061e-03
1.800e+01 1.715e-07 1.091e-02 8.074e-08 7.435e-03
1.818e+01 1.682e-07 1.082e-02 7.989e-08 7.477e-03
2.000e+01 1.389e-07 1.006e-02 7.219e-08 7.877e-03
