# LITHIUM OXIDE from NIST Database
5.549e+00 1.275e-06 2.185e-02 1.666e-07 2.175e-03
6.000e+00 1.091e-06 2.072e-02 1.519e-07 2.379e-03
6.126e+00 1.046e-06 2.042e-02 1.482e-07 2.436e-03
6.762e+00 8.589e-07 1.908e-02 1.321e-07 2.704e-03
7.000e+00 8.015e-07 1.862e-02 1.269e-07 2.801e-03
7.465e+00 7.048e-07 1.780e-02 1.178e-07 2.982e-03
8.000e+00 6.137e-07 1.695e-02 1.089e-07 3.183e-03
8.241e+00 5.783e-07 1.659e-02 1.053e-07 3.270e-03
9.000e+00 4.849e-07 1.558e-02 9.533e-08 3.534e-03
9.097e+00 4.746e-07 1.546e-02 9.419e-08 3.565e-03
1.000e+01 3.928e-07 1.444e-02 8.476e-08 3.852e-03
1.004e+01 3.896e-07 1.439e-02 8.439e-08 3.865e-03
1.100e+01 3.246e-07 1.346e-02 7.630e-08 4.146e-03
1.109e+01 3.193e-07 1.338e-02 7.562e-08 4.170e-03
1.200e+01 2.727e-07 1.262e-02 6.935e-08 4.415e-03
1.224e+01 2.621e-07 1.244e-02 6.787e-08 4.477e-03
1.300e+01 2.324e-07 1.189e-02 6.356e-08 4.668e-03
1.351e+01 2.152e-07 1.156e-02 6.096e-08 4.790e-03
1.400e+01 2.004e-07 1.125e-02 5.866e-08 4.903e-03
1.491e+01 1.767e-07 1.073e-02 5.482e-08 5.104e-03
1.500e+01 1.746e-07 1.068e-02 5.447e-08 5.123e-03
1.600e+01 1.534e-07 1.018e-02 5.083e-08 5.332e-03
1.646e+01 1.449e-07 9.958e-03 4.931e-08 5.425e-03
1.800e+01 1.212e-07 9.298e-03 4.484e-08 5.714e-03
1.818e+01 1.188e-07 9.227e-03 4.436e-08 5.746e-03
2.000e+01 9.818e-08 8.574e-03 4.009e-08 6.058e-03
