# NITROUS OXIDE from NIST Database
6.126e+00 1.456e-06 2.179e-02 2.023e-07 3.226e-03
6.762e+00 1.195e-06 2.035e-02 1.803e-07 3.578e-03
7.000e+00 1.115e-06 1.987e-02 1.732e-07 3.704e-03
7.465e+00 9.803e-07 1.899e-02 1.609e-07 3.942e-03
8.000e+00 8.537e-07 1.808e-02 1.487e-07 4.204e-03
8.241e+00 8.045e-07 1.770e-02 1.438e-07 4.318e-03
9.000e+00 6.746e-07 1.662e-02 1.302e-07 4.661e-03
9.097e+00 6.602e-07 1.649e-02 1.286e-07 4.703e-03
1.000e+01 5.463e-07 1.540e-02 1.158e-07 5.077e-03
1.004e+01 5.420e-07 1.536e-02 1.152e-07 5.093e-03
1.100e+01 4.514e-07 1.436e-02 1.042e-07 5.460e-03
1.109e+01 4.441e-07 1.428e-02 1.033e-07 5.491e-03
1.200e+01 3.793e-07 1.347e-02 9.474e-08 5.809e-03
1.224e+01 3.646e-07 1.327e-02 9.272e-08 5.889e-03
1.300e+01 3.233e-07 1.269e-02 8.684e-08 6.138e-03
1.351e+01 2.993e-07 1.233e-02 8.329e-08 6.296e-03
1.400e+01 2.787e-07 1.201e-02 8.014e-08 6.443e-03
1.491e+01 2.457e-07 1.145e-02 7.489e-08 6.705e-03
1.500e+01 2.428e-07 1.140e-02 7.441e-08 6.731e-03
1.600e+01 2.134e-07 1.085e-02 6.945e-08 7.000e-03
1.646e+01 2.016e-07 1.062e-02 6.738e-08 7.118e-03
1.800e+01 1.686e-07 9.920e-03 6.126e-08 7.494e-03
1.818e+01 1.653e-07 9.844e-03 6.061e-08 7.535e-03
2.000e+01 1.366e-07 9.147e-03 5.480e-08 7.936e-03
