# POLYVINYL ACETATE from NIST Database
1.224e+01 3.012e-07 1.419e-02 6.906e-08 5.256e-03
1.300e+01 2.671e-07 1.356e-02 6.468e-08 5.480e-03
1.351e+01 2.473e-07 1.318e-02 6.204e-08 5.623e-03
1.400e+01 2.302e-07 1.283e-02 5.970e-08 5.754e-03
1.491e+01 2.030e-07 1.224e-02 5.579e-08 5.989e-03
1.500e+01 2.006e-07 1.218e-02 5.543e-08 6.012e-03
1.600e+01 1.763e-07 1.160e-02 5.173e-08 6.257e-03
1.646e+01 1.666e-07 1.135e-02 5.019e-08 6.366e-03
1.800e+01 1.393e-07 1.060e-02 4.564e-08 6.704e-03
1.818e+01 1.365e-07 1.052e-02 4.516e-08 6.742e-03
2.000e+01 1.128e-07 9.777e-03 4.082e-08 7.106e-03
