# DIMETHYL SULFOXIDE from NIST Database
9.097e+00 1.343e-06 1.774e-02 1.050e-06 6.385e-03
1.000e+01 1.112e-06 1.656e-02 9.430e-07 6.886e-03
1.004e+01 1.103e-06 1.651e-02 9.388e-07 6.906e-03
1.100e+01 9.189e-07 1.545e-02 8.481e-07 7.392e-03
1.109e+01 9.041e-07 1.535e-02 8.404e-07 7.436e-03
1.200e+01 7.722e-07 1.449e-02 7.697e-07 7.860e-03
1.224e+01 7.422e-07 1.427e-02 7.530e-07 7.967e-03
1.300e+01 6.579e-07 1.365e-02 7.047e-07 8.294e-03
1.351e+01 6.092e-07 1.326e-02 6.756e-07 8.504e-03
1.400e+01 5.673e-07 1.291e-02 6.498e-07 8.698e-03
1.491e+01 5.001e-07 1.231e-02 6.068e-07 9.043e-03
1.500e+01 4.942e-07 1.226e-02 6.028e-07 9.077e-03
1.600e+01 4.343e-07 1.167e-02 5.622e-07 9.435e-03
1.646e+01 4.104e-07 1.142e-02 5.452e-07 9.592e-03
1.800e+01 3.432e-07 1.067e-02 4.952e-07 1.009e-02
1.818e+01 3.364e-07 1.059e-02 4.900e-07 1.014e-02
2.000e+01 2.780e-07 9.836e-03 4.425e-07 1.067e-02
