# TUNGSTEN HEXAFLUORIDE from NIST Database
1.535e+00 6.687e-04 4.381e-02 3.497e-03 1.110e-03
1.694e+00 5.503e-04 4.153e-02 2.931e-03 1.757e-03
1.870e+00 4.523e-04 3.932e-02 2.468e-03 2.506e-03
2.000e+00 3.955e-04 3.788e-02 2.207e-03 3.065e-03
2.044e+00 3.786e-04 3.742e-02 2.130e-03 3.255e-03
2.065e+00 3.710e-04 3.721e-02 2.095e-03 3.345e-03
2.279e+00 3.047e-04 3.517e-02 1.786e-03 4.252e-03
2.516e+00 2.502e-04 3.318e-02 1.524e-03 5.225e-03
2.778e+00 2.055e-04 3.126e-02 1.304e-03 6.257e-03
3.000e+00 1.764e-04 2.982e-02 1.158e-03 7.095e-03
3.066e+00 1.689e-04 2.942e-02 1.120e-03 7.339e-03
3.385e+00 1.387e-04 2.767e-02 9.667e-04 8.478e-03
3.737e+00 1.138e-04 2.599e-02 8.375e-04 9.667e-03
4.000e+00 9.934e-05 2.488e-02 7.603e-04 1.051e-02
4.125e+00 9.341e-05 2.439e-02 7.281e-04 1.090e-02
4.554e+00 7.666e-05 2.287e-02 6.344e-04 1.217e-02
5.000e+00 6.361e-05 2.149e-02 5.585e-04 1.340e-02
5.027e+00 6.293e-05 2.141e-02 5.544e-04 1.348e-02
5.549e+00 5.167e-05 2.004e-02 4.858e-04 1.482e-02
6.000e+00 4.420e-05 1.900e-02 4.383e-04 1.591e-02
6.126e+00 4.240e-05 1.873e-02 4.266e-04 1.621e-02
6.762e+00 3.479e-05 1.749e-02 3.756e-04 1.762e-02
7.000e+00 3.247e-05 1.708e-02 3.594e-04 1.814e-02
7.465e+00 2.855e-05 1.632e-02 3.314e-04 1.909e-02
8.000e+00 2.487e-05 1.554e-02 3.040e-04 2.014e-02
8.241e+00 2.344e-05 1.522e-02 2.930e-04 2.059e-02
9.000e+00 1.965e-05 1.429e-02 2.630e-04 2.195e-02
9.097e+00 1.923e-05 1.418e-02 2.595e-04 2.212e-02
1.000e+01 1.592e-05 1.324e-02 2.314e-04 2.362e-02
1.004e+01 1.579e-05 1.320e-02 2.303e-04 2.368e-02
1.100e+01 1.316e-05 1.235e-02 2.065e-04 2.517e-02
1.109e+01 1.294e-05 1.227e-02 2.045e-04 2.530e-02
1.200e+01 1.106e-05 1.158e-02 1.864e-04 2.661e-02
1.224e+01 1.063e-05 1.141e-02 1.822e-04 2.694e-02
1.300e+01 9.421e-06 1.091e-02 1.698e-04 2.794e-02
1.351e+01 8.723e-06 1.060e-02 1.624e-04 2.859e-02
1.400e+01 8.124e-06 1.032e-02 1.559e-04 2.920e-02
1.491e+01 7.162e-06 9.842e-03 1.450e-04 3.026e-02
1.500e+01 7.076e-06 9.798e-03 1.440e-04 3.036e-02
1.600e+01 6.219e-06 9.331e-03 1.338e-04 3.146e-02
1.646e+01 5.877e-06 9.132e-03 1.296e-04 3.194e-02
1.800e+01 4.914e-06 8.528e-03 1.172e-04 3.342e-02
1.818e+01 4.817e-06 8.463e-03 1.159e-04 3.358e-02
2.000e+01 3.979e-06 7.863e-03 1.042e-04 3.517e-02
