# SILICON DIOXIDE from NIST Database
3.737e+00 8.036e-06 3.022e-02 2.284e-06 2.450e-03
4.000e+00 7.014e-06 2.893e-02 2.092e-06 2.719e-03
4.125e+00 6.595e-06 2.836e-02 2.011e-06 2.844e-03
4.554e+00 5.411e-06 2.658e-02 1.774e-06 3.261e-03
5.000e+00 4.489e-06 2.498e-02 1.579e-06 3.676e-03
5.027e+00 4.441e-06 2.489e-02 1.569e-06 3.700e-03
5.549e+00 3.645e-06 2.329e-02 1.390e-06 4.163e-03
6.000e+00 3.117e-06 2.208e-02 1.265e-06 4.543e-03
6.126e+00 2.991e-06 2.177e-02 1.234e-06 4.645e-03
6.762e+00 2.455e-06 2.033e-02 1.098e-06 5.142e-03
7.000e+00 2.291e-06 1.985e-02 1.055e-06 5.319e-03
7.465e+00 2.014e-06 1.897e-02 9.788e-07 5.655e-03
8.000e+00 1.753e-06 1.806e-02 9.036e-07 6.022e-03
8.241e+00 1.652e-06 1.768e-02 8.733e-07 6.182e-03
9.000e+00 1.386e-06 1.660e-02 7.899e-07 6.663e-03
9.097e+00 1.356e-06 1.647e-02 7.803e-07 6.723e-03
1.000e+01 1.122e-06 1.538e-02 7.014e-07 7.247e-03
1.004e+01 1.113e-06 1.534e-02 6.983e-07 7.268e-03
1.100e+01 9.275e-07 1.435e-02 6.307e-07 7.778e-03
1.109e+01 9.125e-07 1.426e-02 6.250e-07 7.824e-03
1.200e+01 7.794e-07 1.346e-02 5.728e-07 8.268e-03
1.224e+01 7.491e-07 1.326e-02 5.605e-07 8.380e-03
1.300e+01 6.641e-07 1.267e-02 5.246e-07 8.724e-03
1.351e+01 6.149e-07 1.231e-02 5.030e-07 8.943e-03
1.400e+01 5.726e-07 1.199e-02 4.839e-07 9.148e-03
1.491e+01 5.049e-07 1.144e-02 4.519e-07 9.510e-03
1.500e+01 4.988e-07 1.138e-02 4.490e-07 9.544e-03
1.600e+01 4.383e-07 1.084e-02 4.188e-07 9.919e-03
1.646e+01 4.142e-07 1.061e-02 4.062e-07 1.008e-02
1.800e+01 3.464e-07 9.909e-03 3.690e-07 1.060e-02
1.818e+01 3.395e-07 9.833e-03 3.651e-07 1.066e-02
2.000e+01 2.806e-07 9.138e-03 3.299e-07 1.122e-02
