# CELLULOSE NITRATE from NIST Database
8.241e+00 7.809e-07 1.821e-02 1.431e-07 4.214e-03
9.000e+00 6.547e-07 1.710e-02 1.296e-07 4.550e-03
9.097e+00 6.409e-07 1.697e-02 1.280e-07 4.591e-03
1.000e+01 5.303e-07 1.584e-02 1.152e-07 4.956e-03
1.004e+01 5.261e-07 1.580e-02 1.147e-07 4.972e-03
1.100e+01 4.382e-07 1.478e-02 1.037e-07 5.330e-03
1.109e+01 4.311e-07 1.469e-02 1.028e-07 5.362e-03
1.200e+01 3.682e-07 1.386e-02 9.427e-08 5.673e-03
1.224e+01 3.539e-07 1.366e-02 9.225e-08 5.752e-03
1.300e+01 3.138e-07 1.305e-02 8.640e-08 5.994e-03
1.351e+01 2.905e-07 1.268e-02 8.287e-08 6.150e-03
1.400e+01 2.705e-07 1.235e-02 7.974e-08 6.293e-03
1.491e+01 2.385e-07 1.178e-02 7.452e-08 6.549e-03
1.500e+01 2.357e-07 1.173e-02 7.404e-08 6.573e-03
1.600e+01 2.071e-07 1.117e-02 6.910e-08 6.839e-03
1.646e+01 1.957e-07 1.093e-02 6.704e-08 6.956e-03
1.800e+01 1.637e-07 1.020e-02 6.095e-08 7.323e-03
1.818e+01 1.604e-07 1.013e-02 6.031e-08 7.363e-03
2.000e+01 1.326e-07 9.410e-03 5.451e-08 7.758e-03
