# CADMIUM TUNGSTATE from NIST Database
6.304e-01 4.058e-03 6.675e-02 2.021e-02 0.000e+00
6.959e-01 3.348e-03 6.396e-02 1.615e-02 0.000e+00
7.682e-01 2.760e-03 6.122e-02 1.299e-02 0.000e+00
8.000e-01 2.549e-03 6.011e-02 1.191e-02 0.000e+00
8.480e-01 2.274e-03 5.854e-02 1.052e-02 0.000e+00
9.361e-01 1.873e-03 5.590e-02 8.562e-03 0.000e+00
1.000e+00 1.645e-03 5.415e-02 7.474e-03 0.000e+00
1.022e+00 1.576e-03 5.357e-02 7.148e-03 0.000e+00
1.033e+00 1.543e-03 5.329e-02 6.994e-03 5.191e-08
1.141e+00 1.268e-03 5.074e-02 5.741e-03 4.437e-05
1.250e+00 1.059e-03 4.848e-02 4.820e-03 2.189e-04
1.259e+00 1.044e-03 4.831e-02 4.755e-03 2.392e-04
1.390e+00 8.583e-04 4.591e-02 3.954e-03 6.180e-04
1.500e+00 7.382e-04 4.410e-02 3.440e-03 1.027e-03
1.535e+00 7.052e-04 4.356e-02 3.299e-03 1.169e-03
1.694e+00 5.802e-04 4.131e-02 2.766e-03 1.859e-03
1.870e+00 4.768e-04 3.912e-02 2.330e-03 2.671e-03
2.000e+00 4.169e-04 3.767e-02 2.083e-03 3.284e-03
2.044e+00 3.991e-04 3.721e-02 2.011e-03 3.493e-03
2.065e+00 3.911e-04 3.700e-02 1.978e-03 3.592e-03
2.279e+00 3.211e-04 3.496e-02 1.686e-03 4.597e-03
2.516e+00 2.637e-04 3.298e-02 1.440e-03 5.682e-03
2.778e+00 2.166e-04 3.108e-02 1.232e-03 6.840e-03
3.000e+00 1.858e-04 2.966e-02 1.095e-03 7.784e-03
3.066e+00 1.780e-04 2.926e-02 1.060e-03 8.059e-03
3.385e+00 1.461e-04 2.752e-02 9.149e-04 9.345e-03
3.737e+00 1.199e-04 2.585e-02 7.930e-04 1.069e-02
4.000e+00 1.047e-04 2.475e-02 7.201e-04 1.164e-02
4.125e+00 9.842e-05 2.426e-02 6.897e-04 1.209e-02
4.554e+00 8.076e-05 2.274e-02 6.013e-04 1.353e-02
5.000e+00 6.701e-05 2.138e-02 5.295e-04 1.493e-02
5.027e+00 6.629e-05 2.130e-02 5.257e-04 1.502e-02
5.549e+00 5.443e-05 1.993e-02 4.608e-04 1.655e-02
6.000e+00 4.656e-05 1.889e-02 4.159e-04 1.778e-02
6.126e+00 4.466e-05 1.863e-02 4.049e-04 1.811e-02
6.762e+00 3.665e-05 1.740e-02 3.566e-04 1.973e-02
7.000e+00 3.420e-05 1.698e-02 3.413e-04 2.031e-02
7.465e+00 3.008e-05 1.623e-02 3.148e-04 2.139e-02
8.000e+00 2.619e-05 1.546e-02 2.888e-04 2.259e-02
8.241e+00 2.469e-05 1.513e-02 2.784e-04 2.311e-02
9.000e+00 2.070e-05 1.421e-02 2.500e-04 2.466e-02
9.097e+00 2.026e-05 1.410e-02 2.467e-04 2.485e-02
1.000e+01 1.677e-05 1.317e-02 2.201e-04 2.656e-02
1.004e+01 1.663e-05 1.313e-02 2.190e-04 2.663e-02
1.100e+01 1.386e-05 1.228e-02 1.965e-04 2.831e-02
1.109e+01 1.363e-05 1.221e-02 1.946e-04 2.846e-02
1.200e+01 1.164e-05 1.152e-02 1.774e-04 2.994e-02
1.224e+01 1.119e-05 1.135e-02 1.733e-04 3.032e-02
1.300e+01 9.922e-06 1.085e-02 1.616e-04 3.145e-02
1.351e+01 9.187e-06 1.054e-02 1.546e-04 3.219e-02
1.400e+01 8.556e-06 1.027e-02 1.484e-04 3.288e-02
1.491e+01 7.543e-06 9.789e-03 1.381e-04 3.406e-02
1.500e+01 7.453e-06 9.745e-03 1.371e-04 3.417e-02
1.600e+01 6.550e-06 9.282e-03 1.275e-04 3.541e-02
1.646e+01 6.189e-06 9.085e-03 1.234e-04 3.595e-02
1.800e+01 5.176e-06 8.482e-03 1.117e-04 3.763e-02
1.818e+01 5.074e-06 8.418e-03 1.104e-04 3.781e-02
2.000e+01 4.191e-06 7.822e-03 9.931e-05 3.960e-02
