# LITHIUM FLUORIDE from NIST Database
4.554e+00 2.777e-06 2.463e-02 4.290e-07 2.119e-03
5.000e+00 2.303e-06 2.314e-02 3.825e-07 2.393e-03
5.027e+00 2.279e-06 2.306e-02 3.800e-07 2.410e-03
5.549e+00 1.870e-06 2.158e-02 3.374e-07 2.716e-03
6.000e+00 1.600e-06 2.046e-02 3.075e-07 2.968e-03
6.126e+00 1.535e-06 2.017e-02 3.000e-07 3.037e-03
6.762e+00 1.259e-06 1.884e-02 2.672e-07 3.368e-03
7.000e+00 1.175e-06 1.839e-02 2.566e-07 3.486e-03
7.465e+00 1.033e-06 1.758e-02 2.383e-07 3.710e-03
8.000e+00 8.999e-07 1.673e-02 2.201e-07 3.955e-03
8.241e+00 8.480e-07 1.638e-02 2.128e-07 4.062e-03
9.000e+00 7.109e-07 1.538e-02 1.927e-07 4.382e-03
9.097e+00 6.958e-07 1.526e-02 1.904e-07 4.423e-03
1.000e+01 5.760e-07 1.425e-02 1.713e-07 4.775e-03
1.004e+01 5.714e-07 1.421e-02 1.705e-07 4.790e-03
1.100e+01 4.760e-07 1.329e-02 1.541e-07 5.134e-03
1.109e+01 4.683e-07 1.321e-02 1.528e-07 5.165e-03
1.200e+01 3.998e-07 1.246e-02 1.401e-07 5.462e-03
1.224e+01 3.843e-07 1.228e-02 1.371e-07 5.538e-03
1.300e+01 3.408e-07 1.175e-02 1.284e-07 5.768e-03
1.351e+01 3.156e-07 1.141e-02 1.231e-07 5.916e-03
1.400e+01 2.939e-07 1.111e-02 1.185e-07 6.054e-03
1.491e+01 2.591e-07 1.060e-02 1.107e-07 6.300e-03
1.500e+01 2.560e-07 1.055e-02 1.100e-07 6.322e-03
1.600e+01 2.250e-07 1.005e-02 1.026e-07 6.574e-03
1.646e+01 2.125e-07 9.831e-03 9.955e-08 6.686e-03
1.800e+01 1.777e-07 9.181e-03 9.049e-08 7.039e-03
1.818e+01 1.742e-07 9.112e-03 8.954e-08 7.079e-03
2.000e+01 1.440e-07 8.466e-03 8.091e-08 7.456e-03
