# BORON CARBIDE from NIST Database
1.300e+01 1.740e-07 1.195e-02 2.157e-08 4.245e-03
1.351e+01 1.611e-07 1.161e-02 2.069e-08 4.357e-03
1.400e+01 1.500e-07 1.130e-02 1.991e-08 4.461e-03
1.491e+01 1.322e-07 1.078e-02 1.861e-08 4.645e-03
1.500e+01 1.307e-07 1.073e-02 1.849e-08 4.663e-03
1.600e+01 1.149e-07 1.022e-02 1.726e-08 4.855e-03
1.646e+01 1.085e-07 1.000e-02 1.675e-08 4.939e-03
1.800e+01 9.072e-08 9.339e-03 1.523e-08 5.206e-03
1.818e+01 8.894e-08 9.268e-03 1.507e-08 5.236e-03
2.000e+01 7.351e-08 8.609e-03 1.363e-08 5.523e-03
