# Pyrex Glass from NIST Database
1.870e+00 2.978e-05 4.559e-02 5.470e-06 4.291e-04
2.000e+00 2.604e-05 4.388e-02 4.924e-06 5.514e-04
2.044e+00 2.493e-05 4.333e-02 4.761e-06 5.942e-04
2.065e+00 2.443e-05 4.308e-02 4.686e-06 6.149e-04
2.279e+00 2.006e-05 4.067e-02 4.036e-06 8.305e-04
2.516e+00 1.646e-05 3.837e-02 3.490e-06 1.076e-03
2.778e+00 1.350e-05 3.617e-02 3.030e-06 1.351e-03
3.000e+00 1.158e-05 3.452e-02 2.723e-06 1.583e-03
3.066e+00 1.108e-05 3.406e-02 2.643e-06 1.651e-03
3.385e+00 9.092e-06 3.203e-02 2.312e-06 1.980e-03
3.737e+00 7.461e-06 3.008e-02 2.028e-06 2.334e-03
4.000e+00 6.512e-06 2.880e-02 1.857e-06 2.591e-03
4.125e+00 6.123e-06 2.823e-02 1.785e-06 2.711e-03
4.554e+00 5.024e-06 2.646e-02 1.575e-06 3.109e-03
5.000e+00 4.168e-06 2.487e-02 1.403e-06 3.505e-03
5.027e+00 4.123e-06 2.478e-02 1.393e-06 3.529e-03
5.549e+00 3.384e-06 2.318e-02 1.235e-06 3.970e-03
6.000e+00 2.894e-06 2.198e-02 1.124e-06 4.333e-03
6.126e+00 2.777e-06 2.167e-02 1.096e-06 4.431e-03
6.762e+00 2.279e-06 2.024e-02 9.755e-07 4.906e-03
7.000e+00 2.127e-06 1.976e-02 9.368e-07 5.075e-03
7.465e+00 1.870e-06 1.888e-02 8.692e-07 5.395e-03
8.000e+00 1.628e-06 1.798e-02 8.025e-07 5.748e-03
8.241e+00 1.534e-06 1.760e-02 7.756e-07 5.901e-03
9.000e+00 1.286e-06 1.653e-02 7.015e-07 6.360e-03
9.097e+00 1.259e-06 1.640e-02 6.930e-07 6.417e-03
1.000e+01 1.042e-06 1.531e-02 6.230e-07 6.918e-03
1.004e+01 1.034e-06 1.527e-02 6.202e-07 6.940e-03
1.100e+01 8.611e-07 1.428e-02 5.602e-07 7.427e-03
1.109e+01 8.472e-07 1.420e-02 5.551e-07 7.471e-03
1.200e+01 7.236e-07 1.340e-02 5.088e-07 7.896e-03
1.224e+01 6.955e-07 1.320e-02 4.978e-07 8.004e-03
1.300e+01 6.166e-07 1.262e-02 4.659e-07 8.332e-03
1.351e+01 5.709e-07 1.226e-02 4.468e-07 8.542e-03
1.400e+01 5.316e-07 1.194e-02 4.298e-07 8.737e-03
1.491e+01 4.687e-07 1.139e-02 4.014e-07 9.085e-03
1.500e+01 4.631e-07 1.133e-02 3.988e-07 9.118e-03
1.600e+01 4.070e-07 1.079e-02 3.720e-07 9.476e-03
1.646e+01 3.845e-07 1.056e-02 3.608e-07 9.635e-03
1.800e+01 3.216e-07 9.864e-03 3.278e-07 1.013e-02
1.818e+01 3.152e-07 9.789e-03 3.243e-07 1.019e-02
2.000e+01 2.605e-07 9.097e-03 2.930e-07 1.072e-02
