# SKIN (ICRP) from NIST Database
4.000e+00 3.231e-06 3.182e-02 3.762e-07 1.771e-03
4.125e+00 3.038e-06 3.120e-02 3.618e-07 1.854e-03
4.554e+00 2.492e-06 2.924e-02 3.197e-07 2.132e-03
5.000e+00 2.067e-06 2.748e-02 2.850e-07 2.411e-03
5.027e+00 2.045e-06 2.738e-02 2.832e-07 2.427e-03
5.549e+00 1.678e-06 2.562e-02 2.513e-07 2.738e-03
6.000e+00 1.436e-06 2.429e-02 2.290e-07 2.995e-03
6.126e+00 1.377e-06 2.395e-02 2.235e-07 3.065e-03
6.762e+00 1.130e-06 2.237e-02 1.991e-07 3.402e-03
7.000e+00 1.055e-06 2.183e-02 1.913e-07 3.523e-03
7.465e+00 9.274e-07 2.087e-02 1.776e-07 3.750e-03
8.000e+00 8.076e-07 1.987e-02 1.641e-07 4.000e-03
8.241e+00 7.611e-07 1.946e-02 1.586e-07 4.111e-03
9.000e+00 6.381e-07 1.827e-02 1.436e-07 4.440e-03
9.097e+00 6.246e-07 1.813e-02 1.419e-07 4.480e-03
1.000e+01 5.169e-07 1.692e-02 1.277e-07 4.839e-03
1.004e+01 5.128e-07 1.688e-02 1.271e-07 4.854e-03
1.100e+01 4.271e-07 1.578e-02 1.149e-07 5.205e-03
1.109e+01 4.202e-07 1.569e-02 1.139e-07 5.236e-03
1.200e+01 3.589e-07 1.480e-02 1.044e-07 5.542e-03
1.224e+01 3.450e-07 1.459e-02 1.022e-07 5.620e-03
1.300e+01 3.058e-07 1.394e-02 9.569e-08 5.857e-03
1.351e+01 2.832e-07 1.355e-02 9.177e-08 6.010e-03
1.400e+01 2.637e-07 1.319e-02 8.830e-08 6.151e-03
1.491e+01 2.325e-07 1.258e-02 8.251e-08 6.402e-03
1.500e+01 2.297e-07 1.253e-02 8.198e-08 6.425e-03
1.600e+01 2.019e-07 1.193e-02 7.649e-08 6.686e-03
1.646e+01 1.908e-07 1.167e-02 7.421e-08 6.801e-03
1.800e+01 1.595e-07 1.090e-02 6.747e-08 7.162e-03
1.818e+01 1.564e-07 1.082e-02 6.675e-08 7.202e-03
2.000e+01 1.292e-07 1.005e-02 6.033e-08 7.590e-03
