# URANIUM MONOCARBIDE from NIST Database
1.141e+00 2.731e-03 4.636e-02 1.951e-02 8.098e-05
1.250e+00 2.286e-03 4.430e-02 1.636e-02 4.248e-04
1.259e+00 2.254e-03 4.414e-02 1.614e-02 4.661e-04
1.390e+00 1.857e-03 4.197e-02 1.339e-02 1.252e-03
1.500e+00 1.599e-03 4.034e-02 1.163e-02 2.097e-03
1.535e+00 1.528e-03 3.986e-02 1.116e-02 2.383e-03
1.694e+00 1.258e-03 3.783e-02 9.355e-03 3.705e-03
1.870e+00 1.035e-03 3.584e-02 7.877e-03 5.128e-03
2.000e+00 9.070e-04 3.449e-02 7.026e-03 6.147e-03
2.044e+00 8.689e-04 3.405e-02 6.773e-03 6.490e-03
2.065e+00 8.516e-04 3.385e-02 6.658e-03 6.653e-03
2.279e+00 7.009e-04 3.196e-02 5.655e-03 8.239e-03
2.516e+00 5.760e-04 3.017e-02 4.820e-03 9.857e-03
2.778e+00 4.731e-04 2.846e-02 4.123e-03 1.151e-02
3.000e+00 4.060e-04 2.717e-02 3.661e-03 1.280e-02
3.066e+00 3.888e-04 2.681e-02 3.541e-03 1.318e-02
3.385e+00 3.193e-04 2.522e-02 3.050e-03 1.492e-02
3.737e+00 2.623e-04 2.369e-02 2.636e-03 1.671e-02
4.000e+00 2.290e-04 2.268e-02 2.389e-03 1.798e-02
4.125e+00 2.154e-04 2.223e-02 2.286e-03 1.856e-02
4.554e+00 1.769e-04 2.084e-02 1.988e-03 2.047e-02
5.000e+00 1.468e-04 1.959e-02 1.746e-03 2.231e-02
5.027e+00 1.452e-04 1.952e-02 1.734e-03 2.242e-02
5.549e+00 1.192e-04 1.826e-02 1.516e-03 2.441e-02
6.000e+00 1.020e-04 1.732e-02 1.366e-03 2.603e-02
6.126e+00 9.788e-05 1.707e-02 1.329e-03 2.646e-02
6.762e+00 8.036e-05 1.595e-02 1.168e-03 2.859e-02
7.000e+00 7.499e-05 1.557e-02 1.117e-03 2.934e-02
7.465e+00 6.594e-05 1.488e-02 1.028e-03 3.076e-02
8.000e+00 5.742e-05 1.417e-02 9.420e-04 3.231e-02
8.241e+00 5.412e-05 1.387e-02 9.075e-04 3.300e-02
9.000e+00 4.540e-05 1.303e-02 8.133e-04 3.507e-02
9.097e+00 4.444e-05 1.293e-02 8.027e-04 3.532e-02
1.000e+01 3.677e-05 1.207e-02 7.148e-04 3.757e-02
1.004e+01 3.648e-05 1.204e-02 7.114e-04 3.767e-02
1.100e+01 3.039e-05 1.126e-02 6.370e-04 3.993e-02
1.109e+01 2.990e-05 1.119e-02 6.308e-04 4.013e-02
1.200e+01 2.554e-05 1.056e-02 5.742e-04 4.210e-02
1.224e+01 2.455e-05 1.041e-02 5.609e-04 4.259e-02
1.300e+01 2.177e-05 9.947e-03 5.224e-04 4.414e-02
1.351e+01 2.015e-05 9.665e-03 4.993e-04 4.513e-02
1.400e+01 1.877e-05 9.411e-03 4.790e-04 4.605e-02
1.491e+01 1.655e-05 8.974e-03 4.455e-04 4.769e-02
1.500e+01 1.635e-05 8.933e-03 4.424e-04 4.784e-02
1.600e+01 1.437e-05 8.507e-03 4.106e-04 4.952e-02
1.646e+01 1.358e-05 8.326e-03 3.975e-04 5.025e-02
1.800e+01 1.136e-05 7.776e-03 3.591e-04 5.254e-02
1.818e+01 1.113e-05 7.717e-03 3.551e-04 5.280e-02
2.000e+01 9.198e-06 7.171e-03 3.191e-04 5.525e-02
