# LITHIUM TETRABORATE from NIST Database
7.000e+00 1.012e-06 1.927e-02 1.637e-07 3.379e-03
7.465e+00 8.899e-07 1.842e-02 1.520e-07 3.598e-03
8.000e+00 7.749e-07 1.754e-02 1.405e-07 3.837e-03
8.241e+00 7.302e-07 1.717e-02 1.358e-07 3.941e-03
9.000e+00 6.123e-07 1.612e-02 1.230e-07 4.256e-03
9.097e+00 5.993e-07 1.600e-02 1.215e-07 4.294e-03
1.000e+01 4.960e-07 1.494e-02 1.093e-07 4.636e-03
1.004e+01 4.920e-07 1.490e-02 1.089e-07 4.651e-03
1.100e+01 4.098e-07 1.393e-02 9.843e-08 4.986e-03
1.109e+01 4.032e-07 1.385e-02 9.755e-08 5.015e-03
1.200e+01 3.444e-07 1.307e-02 8.947e-08 5.308e-03
1.224e+01 3.310e-07 1.287e-02 8.756e-08 5.382e-03
1.300e+01 2.935e-07 1.231e-02 8.201e-08 5.608e-03
1.351e+01 2.717e-07 1.196e-02 7.865e-08 5.753e-03
1.400e+01 2.530e-07 1.164e-02 7.568e-08 5.888e-03
1.491e+01 2.231e-07 1.111e-02 7.073e-08 6.128e-03
1.500e+01 2.204e-07 1.106e-02 7.027e-08 6.151e-03
1.600e+01 1.937e-07 1.053e-02 6.558e-08 6.398e-03
1.646e+01 1.830e-07 1.031e-02 6.362e-08 6.508e-03
1.800e+01 1.530e-07 9.622e-03 5.785e-08 6.853e-03
1.818e+01 1.500e-07 9.549e-03 5.724e-08 6.891e-03
2.000e+01 1.240e-07 8.872e-03 5.173e-08 7.260e-03
