# MERCURIC IODIDE from NIST Database
1.300e+01 1.230e-05 1.039e-02 2.081e-04 3.695e-02
1.351e+01 1.139e-05 1.009e-02 1.991e-04 3.781e-02
1.400e+01 1.061e-05 9.828e-03 1.911e-04 3.860e-02
1.491e+01 9.353e-06 9.375e-03 1.777e-04 4.001e-02
1.500e+01 9.241e-06 9.333e-03 1.765e-04 4.014e-02
1.600e+01 8.123e-06 8.887e-03 1.640e-04 4.157e-02
1.646e+01 7.675e-06 8.697e-03 1.589e-04 4.219e-02
1.800e+01 6.418e-06 8.121e-03 1.436e-04 4.416e-02
1.818e+01 6.291e-06 8.060e-03 1.421e-04 4.438e-02
2.000e+01 5.199e-06 7.489e-03 1.277e-04 4.648e-02
