# TITANIUM DIOXIDE from NIST Database
4.125e+00 1.299e-05 2.701e-02 1.153e-05 4.028e-03
4.554e+00 1.066e-05 2.532e-02 1.015e-05 4.604e-03
5.000e+00 8.843e-06 2.380e-02 9.013e-06 5.176e-03
5.027e+00 8.748e-06 2.372e-02 8.952e-06 5.210e-03
5.549e+00 7.179e-06 2.219e-02 7.914e-06 5.847e-03
6.000e+00 6.140e-06 2.103e-02 7.190e-06 6.367e-03
6.126e+00 5.890e-06 2.074e-02 7.010e-06 6.509e-03
6.762e+00 4.834e-06 1.937e-02 6.223e-06 7.189e-03
7.000e+00 4.511e-06 1.891e-02 5.972e-06 7.433e-03
7.465e+00 3.967e-06 1.807e-02 5.534e-06 7.890e-03
8.000e+00 3.454e-06 1.720e-02 5.102e-06 8.393e-03
8.241e+00 3.255e-06 1.685e-02 4.928e-06 8.612e-03
9.000e+00 2.729e-06 1.582e-02 4.451e-06 9.268e-03
9.097e+00 2.671e-06 1.570e-02 4.396e-06 9.348e-03
1.000e+01 2.210e-06 1.465e-02 3.946e-06 1.006e-02
1.004e+01 2.193e-06 1.461e-02 3.928e-06 1.009e-02
1.100e+01 1.827e-06 1.367e-02 3.542e-06 1.078e-02
1.109e+01 1.797e-06 1.359e-02 3.510e-06 1.084e-02
1.200e+01 1.535e-06 1.282e-02 3.214e-06 1.145e-02
1.224e+01 1.475e-06 1.263e-02 3.144e-06 1.160e-02
1.300e+01 1.308e-06 1.208e-02 2.940e-06 1.206e-02
1.351e+01 1.211e-06 1.173e-02 2.818e-06 1.236e-02
1.400e+01 1.128e-06 1.142e-02 2.709e-06 1.263e-02
1.491e+01 9.942e-07 1.090e-02 2.528e-06 1.313e-02
1.500e+01 9.823e-07 1.085e-02 2.511e-06 1.317e-02
1.600e+01 8.631e-07 1.033e-02 2.341e-06 1.368e-02
1.646e+01 8.155e-07 1.011e-02 2.270e-06 1.390e-02
1.800e+01 6.822e-07 9.440e-03 2.060e-06 1.460e-02
1.818e+01 6.688e-07 9.369e-03 2.038e-06 1.468e-02
2.000e+01 5.526e-07 8.705e-03 1.840e-06 1.543e-02
