# PHOTOGRAPHIC EMULSION from NIST Database
6.000e+00 2.263e-05 2.009e-02 9.877e-05 1.277e-02
6.126e+00 2.171e-05 1.981e-02 9.622e-05 1.302e-02
6.762e+00 1.782e-05 1.850e-02 8.505e-05 1.429e-02
7.000e+00 1.663e-05 1.806e-02 8.150e-05 1.476e-02
7.465e+00 1.462e-05 1.726e-02 7.532e-05 1.561e-02
8.000e+00 1.273e-05 1.644e-02 6.926e-05 1.654e-02
8.241e+00 1.200e-05 1.609e-02 6.683e-05 1.695e-02
9.000e+00 1.006e-05 1.511e-02 6.016e-05 1.817e-02
9.097e+00 9.846e-06 1.500e-02 5.940e-05 1.832e-02
1.000e+01 8.148e-06 1.400e-02 5.314e-05 1.966e-02
1.004e+01 8.084e-06 1.396e-02 5.289e-05 1.972e-02
1.100e+01 6.735e-06 1.306e-02 4.757e-05 2.103e-02
1.109e+01 6.626e-06 1.298e-02 4.712e-05 2.114e-02
1.200e+01 5.658e-06 1.225e-02 4.304e-05 2.229e-02
1.224e+01 5.439e-06 1.207e-02 4.208e-05 2.257e-02
1.300e+01 4.822e-06 1.154e-02 3.929e-05 2.344e-02
1.351e+01 4.464e-06 1.121e-02 3.760e-05 2.401e-02
1.400e+01 4.156e-06 1.092e-02 3.612e-05 2.453e-02
1.491e+01 3.665e-06 1.041e-02 3.367e-05 2.543e-02
1.500e+01 3.621e-06 1.036e-02 3.344e-05 2.552e-02
1.600e+01 3.183e-06 9.871e-03 3.112e-05 2.645e-02
1.646e+01 3.007e-06 9.660e-03 3.015e-05 2.686e-02
1.800e+01 2.515e-06 9.020e-03 2.732e-05 2.816e-02
1.818e+01 2.465e-06 8.951e-03 2.702e-05 2.831e-02
2.000e+01 2.037e-06 8.318e-03 2.435e-05 2.969e-02
