# ETHYL CELLULOSE from NIST Database
8.000e+00 6.762e-07 1.968e-02 1.031e-07 3.650e-03
8.241e+00 6.372e-07 1.927e-02 9.968e-08 3.751e-03
9.000e+00 5.343e-07 1.809e-02 9.028e-08 4.053e-03
9.097e+00 5.229e-07 1.795e-02 8.921e-08 4.090e-03
1.000e+01 4.327e-07 1.676e-02 8.029e-08 4.419e-03
1.004e+01 4.293e-07 1.671e-02 7.994e-08 4.433e-03
1.100e+01 3.576e-07 1.563e-02 7.227e-08 4.756e-03
1.109e+01 3.518e-07 1.554e-02 7.163e-08 4.785e-03
1.200e+01 3.005e-07 1.466e-02 6.570e-08 5.066e-03
1.224e+01 2.888e-07 1.445e-02 6.430e-08 5.137e-03
1.300e+01 2.561e-07 1.381e-02 6.022e-08 5.356e-03
1.351e+01 2.371e-07 1.342e-02 5.776e-08 5.496e-03
1.400e+01 2.208e-07 1.307e-02 5.558e-08 5.626e-03
1.491e+01 1.947e-07 1.246e-02 5.195e-08 5.856e-03
1.500e+01 1.923e-07 1.241e-02 5.161e-08 5.879e-03
1.600e+01 1.690e-07 1.181e-02 4.817e-08 6.119e-03
1.646e+01 1.597e-07 1.156e-02 4.673e-08 6.225e-03
1.800e+01 1.336e-07 1.080e-02 4.249e-08 6.557e-03
1.818e+01 1.309e-07 1.071e-02 4.205e-08 6.594e-03
2.000e+01 1.082e-07 9.955e-03 3.801e-08 6.951e-03
