# BARIUM FLUORIDE from NIST Database
1.100e+01 9.857e-06 1.213e-02 1.045e-04 2.451e-02
1.109e+01 9.698e-06 1.206e-02 1.035e-04 2.465e-02
1.200e+01 8.283e-06 1.137e-02 9.450e-05 2.596e-02
1.224e+01 7.962e-06 1.120e-02 9.237e-05 2.628e-02
1.300e+01 7.058e-06 1.071e-02 8.618e-05 2.730e-02
1.351e+01 6.535e-06 1.041e-02 8.246e-05 2.795e-02
1.400e+01 6.086e-06 1.014e-02 7.917e-05 2.854e-02
1.491e+01 5.367e-06 9.667e-03 7.373e-05 2.959e-02
1.500e+01 5.303e-06 9.623e-03 7.323e-05 2.969e-02
1.600e+01 4.659e-06 9.164e-03 6.811e-05 3.076e-02
1.646e+01 4.401e-06 8.968e-03 6.598e-05 3.123e-02
1.800e+01 3.680e-06 8.375e-03 5.972e-05 3.271e-02
1.818e+01 3.608e-06 8.311e-03 5.907e-05 3.287e-02
2.000e+01 2.982e-06 7.725e-03 5.320e-05 3.445e-02
