# BORON OXIDE from NIST Database
5.549e+00 1.682e-06 2.278e-02 2.253e-07 2.728e-03
6.000e+00 1.439e-06 2.160e-02 2.054e-07 2.982e-03
6.126e+00 1.380e-06 2.129e-02 2.004e-07 3.052e-03
6.762e+00 1.133e-06 1.988e-02 1.786e-07 3.385e-03
7.000e+00 1.057e-06 1.941e-02 1.716e-07 3.504e-03
7.465e+00 9.296e-07 1.855e-02 1.593e-07 3.730e-03
8.000e+00 8.095e-07 1.766e-02 1.472e-07 3.977e-03
8.241e+00 7.628e-07 1.730e-02 1.424e-07 4.086e-03
9.000e+00 6.397e-07 1.624e-02 1.289e-07 4.411e-03
9.097e+00 6.261e-07 1.611e-02 1.274e-07 4.452e-03
1.000e+01 5.181e-07 1.505e-02 1.146e-07 4.805e-03
1.004e+01 5.140e-07 1.500e-02 1.141e-07 4.820e-03
1.100e+01 4.281e-07 1.403e-02 1.032e-07 5.167e-03
1.109e+01 4.212e-07 1.395e-02 1.023e-07 5.197e-03
1.200e+01 3.597e-07 1.316e-02 9.379e-08 5.499e-03
1.224e+01 3.458e-07 1.297e-02 9.178e-08 5.575e-03
1.300e+01 3.066e-07 1.240e-02 8.596e-08 5.810e-03
1.351e+01 2.839e-07 1.205e-02 8.245e-08 5.961e-03
1.400e+01 2.643e-07 1.173e-02 7.933e-08 6.100e-03
1.491e+01 2.330e-07 1.119e-02 7.414e-08 6.347e-03
1.500e+01 2.302e-07 1.114e-02 7.366e-08 6.371e-03
1.600e+01 2.024e-07 1.061e-02 6.874e-08 6.628e-03
1.646e+01 1.912e-07 1.038e-02 6.669e-08 6.740e-03
1.800e+01 1.599e-07 9.691e-03 6.064e-08 7.097e-03
1.818e+01 1.567e-07 9.618e-03 6.000e-08 7.136e-03
2.000e+01 1.295e-07 8.936e-03 5.423e-08 7.518e-03
