# POLYVINYLIDENE FLUORIDE from NIST Database
3.737e+00 4.198e-06 3.024e-02 5.049e-07 1.683e-03
4.000e+00 3.664e-06 2.895e-02 4.628e-07 1.872e-03
4.125e+00 3.446e-06 2.838e-02 4.451e-07 1.959e-03
4.554e+00 2.827e-06 2.660e-02 3.934e-07 2.252e-03
5.000e+00 2.345e-06 2.500e-02 3.508e-07 2.544e-03
5.027e+00 2.320e-06 2.491e-02 3.485e-07 2.561e-03
5.549e+00 1.904e-06 2.331e-02 3.094e-07 2.888e-03
6.000e+00 1.628e-06 2.210e-02 2.820e-07 3.156e-03
6.126e+00 1.562e-06 2.179e-02 2.752e-07 3.228e-03
6.762e+00 1.282e-06 2.035e-02 2.451e-07 3.581e-03
7.000e+00 1.196e-06 1.986e-02 2.354e-07 3.708e-03
7.465e+00 1.052e-06 1.898e-02 2.186e-07 3.946e-03
8.000e+00 9.160e-07 1.808e-02 2.020e-07 4.207e-03
8.241e+00 8.632e-07 1.770e-02 1.953e-07 4.321e-03
9.000e+00 7.237e-07 1.662e-02 1.768e-07 4.663e-03
9.097e+00 7.083e-07 1.649e-02 1.747e-07 4.705e-03
1.000e+01 5.863e-07 1.539e-02 1.572e-07 5.081e-03
1.004e+01 5.816e-07 1.535e-02 1.565e-07 5.097e-03
1.100e+01 4.845e-07 1.436e-02 1.414e-07 5.463e-03
1.109e+01 4.767e-07 1.427e-02 1.402e-07 5.495e-03
1.200e+01 4.070e-07 1.347e-02 1.286e-07 5.812e-03
1.224e+01 3.912e-07 1.327e-02 1.258e-07 5.893e-03
1.300e+01 3.469e-07 1.269e-02 1.178e-07 6.139e-03
1.351e+01 3.212e-07 1.233e-02 1.130e-07 6.297e-03
1.400e+01 2.991e-07 1.200e-02 1.087e-07 6.443e-03
1.491e+01 2.638e-07 1.145e-02 1.016e-07 6.704e-03
1.500e+01 2.606e-07 1.140e-02 1.009e-07 6.730e-03
1.600e+01 2.290e-07 1.085e-02 9.419e-08 6.999e-03
1.646e+01 2.164e-07 1.062e-02 9.138e-08 7.118e-03
1.800e+01 1.809e-07 9.917e-03 8.307e-08 7.494e-03
1.818e+01 1.774e-07 9.842e-03 8.220e-08 7.535e-03
2.000e+01 1.466e-07 9.145e-03 7.428e-08 7.937e-03
