# POTASSIUM OXIDE from NIST Database
1.109e+01 1.924e-06 1.395e-02 2.988e-06 1.180e-02
1.200e+01 1.643e-06 1.316e-02 2.736e-06 1.246e-02
1.224e+01 1.579e-06 1.297e-02 2.677e-06 1.262e-02
1.300e+01 1.400e-06 1.240e-02 2.504e-06 1.313e-02
1.351e+01 1.296e-06 1.204e-02 2.400e-06 1.346e-02
1.400e+01 1.207e-06 1.173e-02 2.308e-06 1.375e-02
1.491e+01 1.064e-06 1.119e-02 2.155e-06 1.429e-02
1.500e+01 1.051e-06 1.114e-02 2.141e-06 1.434e-02
1.600e+01 9.242e-07 1.060e-02 1.995e-06 1.488e-02
1.646e+01 8.733e-07 1.038e-02 1.935e-06 1.513e-02
1.800e+01 7.302e-07 9.691e-03 1.757e-06 1.588e-02
1.818e+01 7.158e-07 9.617e-03 1.738e-06 1.597e-02
2.000e+01 5.914e-07 8.937e-03 1.570e-06 1.679e-02
