# DICHLORODIETHYL ETHER from NIST Database
5.000e+00 5.238e-06 2.589e-02 3.029e-06 3.785e-03
5.027e+00 5.182e-06 2.579e-02 3.008e-06 3.810e-03
5.549e+00 4.252e-06 2.413e-02 2.663e-06 4.284e-03
6.000e+00 3.637e-06 2.288e-02 2.422e-06 4.673e-03
6.126e+00 3.489e-06 2.256e-02 2.362e-06 4.779e-03
6.762e+00 2.864e-06 2.107e-02 2.100e-06 5.289e-03
7.000e+00 2.672e-06 2.057e-02 2.016e-06 5.471e-03
7.465e+00 2.350e-06 1.966e-02 1.870e-06 5.815e-03
8.000e+00 2.046e-06 1.872e-02 1.725e-06 6.192e-03
8.241e+00 1.928e-06 1.833e-02 1.667e-06 6.355e-03
9.000e+00 1.617e-06 1.721e-02 1.507e-06 6.849e-03
9.097e+00 1.582e-06 1.707e-02 1.488e-06 6.910e-03
1.000e+01 1.309e-06 1.594e-02 1.337e-06 7.447e-03
1.004e+01 1.299e-06 1.589e-02 1.331e-06 7.470e-03
1.100e+01 1.082e-06 1.487e-02 1.202e-06 7.992e-03
1.109e+01 1.065e-06 1.478e-02 1.191e-06 8.039e-03
1.200e+01 9.093e-07 1.394e-02 1.090e-06 8.494e-03
1.224e+01 8.740e-07 1.374e-02 1.067e-06 8.609e-03
1.300e+01 7.748e-07 1.313e-02 9.986e-07 8.960e-03
1.351e+01 7.174e-07 1.276e-02 9.574e-07 9.185e-03
1.400e+01 6.681e-07 1.243e-02 9.208e-07 9.395e-03
1.491e+01 5.891e-07 1.185e-02 8.594e-07 9.765e-03
1.500e+01 5.820e-07 1.180e-02 8.538e-07 9.800e-03
1.600e+01 5.115e-07 1.124e-02 7.961e-07 1.018e-02
1.646e+01 4.833e-07 1.100e-02 7.721e-07 1.035e-02
1.800e+01 4.041e-07 1.027e-02 7.012e-07 1.088e-02
1.818e+01 3.962e-07 1.019e-02 6.937e-07 1.095e-02
2.000e+01 3.274e-07 9.469e-03 6.265e-07 1.151e-02
