# SODIUM CARBONATE from NIST Database
3.000e+00 8.873e-06 3.408e-02 1.282e-06 1.365e-03
3.066e+00 8.496e-06 3.363e-02 1.244e-06 1.425e-03
3.385e+00 6.971e-06 3.162e-02 1.090e-06 1.711e-03
3.737e+00 5.719e-06 2.969e-02 9.573e-07 2.019e-03
4.000e+00 4.992e-06 2.842e-02 8.771e-07 2.243e-03
4.125e+00 4.694e-06 2.786e-02 8.435e-07 2.346e-03
4.554e+00 3.851e-06 2.611e-02 7.449e-07 2.694e-03
5.000e+00 3.195e-06 2.455e-02 6.639e-07 3.039e-03
5.027e+00 3.161e-06 2.446e-02 6.595e-07 3.059e-03
5.549e+00 2.594e-06 2.288e-02 5.852e-07 3.445e-03
6.000e+00 2.219e-06 2.169e-02 5.330e-07 3.762e-03
6.126e+00 2.128e-06 2.139e-02 5.201e-07 3.847e-03
6.762e+00 1.747e-06 1.998e-02 4.631e-07 4.263e-03
7.000e+00 1.630e-06 1.950e-02 4.448e-07 4.412e-03
7.465e+00 1.433e-06 1.864e-02 4.129e-07 4.692e-03
8.000e+00 1.248e-06 1.775e-02 3.814e-07 5.000e-03
8.241e+00 1.176e-06 1.738e-02 3.688e-07 5.135e-03
9.000e+00 9.861e-07 1.631e-02 3.338e-07 5.537e-03
9.097e+00 9.652e-07 1.619e-02 3.298e-07 5.587e-03
1.000e+01 7.987e-07 1.511e-02 2.965e-07 6.028e-03
1.004e+01 7.924e-07 1.507e-02 2.952e-07 6.045e-03
1.100e+01 6.601e-07 1.410e-02 2.668e-07 6.474e-03
1.109e+01 6.494e-07 1.401e-02 2.644e-07 6.513e-03
1.200e+01 5.546e-07 1.322e-02 2.424e-07 6.886e-03
1.224e+01 5.331e-07 1.303e-02 2.372e-07 6.980e-03
1.300e+01 4.726e-07 1.245e-02 2.222e-07 7.269e-03
1.351e+01 4.376e-07 1.210e-02 2.130e-07 7.454e-03
1.400e+01 4.075e-07 1.178e-02 2.049e-07 7.626e-03
1.491e+01 3.592e-07 1.124e-02 1.915e-07 7.931e-03
1.500e+01 3.549e-07 1.119e-02 1.902e-07 7.960e-03
1.600e+01 3.120e-07 1.065e-02 1.775e-07 8.275e-03
1.646e+01 2.948e-07 1.043e-02 1.722e-07 8.414e-03
1.800e+01 2.465e-07 9.736e-03 1.564e-07 8.853e-03
1.818e+01 2.416e-07 9.662e-03 1.548e-07 8.902e-03
2.000e+01 1.997e-07 8.978e-03 1.399e-07 9.372e-03
