# PLUTONIUM DIOXIDE from NIST Database
5.000e+00 1.455e-04 2.029e-02 1.774e-03 2.163e-02
5.027e+00 1.439e-04 2.021e-02 1.761e-03 2.173e-02
5.549e+00 1.182e-04 1.891e-02 1.540e-03 2.364e-02
6.000e+00 1.011e-04 1.793e-02 1.387e-03 2.519e-02
6.126e+00 9.699e-05 1.768e-02 1.349e-03 2.561e-02
6.762e+00 7.963e-05 1.651e-02 1.186e-03 2.765e-02
7.000e+00 7.431e-05 1.612e-02 1.134e-03 2.838e-02
7.465e+00 6.536e-05 1.541e-02 1.044e-03 2.975e-02
8.000e+00 5.693e-05 1.467e-02 9.561e-04 3.127e-02
8.241e+00 5.365e-05 1.437e-02 9.210e-04 3.191e-02
9.000e+00 4.499e-05 1.349e-02 8.252e-04 3.390e-02
9.097e+00 4.404e-05 1.339e-02 8.143e-04 3.415e-02
1.000e+01 3.644e-05 1.250e-02 7.252e-04 3.635e-02
1.004e+01 3.616e-05 1.246e-02 7.217e-04 3.644e-02
1.100e+01 3.012e-05 1.166e-02 6.461e-04 3.863e-02
1.109e+01 2.964e-05 1.159e-02 6.398e-04 3.882e-02
1.200e+01 2.531e-05 1.093e-02 5.823e-04 4.074e-02
1.224e+01 2.433e-05 1.077e-02 5.689e-04 4.123e-02
1.300e+01 2.157e-05 1.030e-02 5.299e-04 4.270e-02
1.351e+01 1.998e-05 1.001e-02 5.065e-04 4.366e-02
1.400e+01 1.860e-05 9.745e-03 4.859e-04 4.456e-02
1.491e+01 1.640e-05 9.293e-03 4.517e-04 4.613e-02
1.500e+01 1.621e-05 9.251e-03 4.486e-04 4.629e-02
1.600e+01 1.424e-05 8.812e-03 4.164e-04 4.789e-02
1.646e+01 1.346e-05 8.624e-03 4.031e-04 4.860e-02
1.800e+01 1.126e-05 8.052e-03 3.642e-04 5.084e-02
1.818e+01 1.103e-05 7.991e-03 3.601e-04 5.110e-02
2.000e+01 9.117e-06 7.426e-03 3.235e-04 5.348e-02
