# LANTHANUM OXYBROMIDE from NIST Database
1.300e+01 6.900e-06 1.081e-02 7.753e-05 2.822e-02
1.351e+01 6.390e-06 1.050e-02 7.421e-05 2.889e-02
1.400e+01 5.950e-06 1.023e-02 7.127e-05 2.951e-02
1.491e+01 5.245e-06 9.754e-03 6.638e-05 3.060e-02
1.500e+01 5.183e-06 9.710e-03 6.593e-05 3.070e-02
1.600e+01 4.557e-06 9.247e-03 6.132e-05 3.181e-02
1.646e+01 4.306e-06 9.049e-03 5.941e-05 3.230e-02
1.800e+01 3.600e-06 8.450e-03 5.377e-05 3.383e-02
1.818e+01 3.529e-06 8.385e-03 5.319e-05 3.400e-02
2.000e+01 2.916e-06 7.794e-03 4.788e-05 3.563e-02
